name,code,state,zone,address,latitude,longitude
Malaka Vemala,MVA,,,,14.268888,78.053936
Bhimal,BIML,Rajasthan,NWR,"Rajsamand, Rajasthan",24.7524306,73.92244020000001
Mahuli Halt,MZB,,,,21.033307999999998,79.315031
Warud Orange City,WOC,,,,21.458720999999997,78.276164
SANHA HALT,SANH,,,,25.4274073054,86.3684319092
IFFCO CABIN,IFCO,,,,23.179203,72.535718
KANGRA,KGRA,Himachal Pradesh,NR,"Kangra, Himachal Pradesh",32.085157,76.26256500000001
MAJRI KHADAN,MJKN,,,,20.109731,79.01907800000001
PAMIDI,PMD,,,,14.980726541100001,77.5990446368
PIRUMADARA,PRM,Uttarakhand,NER,"Nainital District, Uttarakhand",29.327364,79.045744
SIKKAL,SKK,Tamil Nadu,SR,"Sikkal, Tamil Nadu",10.753121,79.790691
RAMGANGA SOUTH,RSC,,,,28.295969,79.369788
PALGHAR,PLG,Maharashtra,WR,"Palghar, Maharashtra",19.698038,72.77248
PIMPLA CHAURE HALT,PPLC,,,,19.286454997699998,77.13253484500001
KALINAGAR,KLNT,,,,23.365861,88.335819
AUNRIHAR JN,ARJ,Uttar Pradesh,NER,"Ghazipur, Uttar Pradesh",25.54466,83.18727200000001
THANDONI,TNDN,,,,10.93648,78.108515
MARWAR BIRTHI,MBT,Rajasthan,NWR,"National Highway 15, Rajasthan",27.099589,72.290171
PIPLEE,PLE,,,,23.817141,71.530851
MOTA SURKA,MTSK,,,,21.724542,71.924583
NARAIKKINAR,NRK,Tamil Nadu,SR,"Palayamkottai - Kolathur - Nagalapuram - Aruppukottai Rd, Tamil Nadu",8.862518999999999,77.841953
GHAUNSPUR,GPW,,,,31.8706261437,75.6375275745
PATHRALA,PTRL,Punjab,NWR,"National Highway 64, Punjab",30.006625,74.74395299999999
Pathardih Junction,PEH,Jharkhand,ECR,"Jairampur More to Baliapur, Jharkhand",23.675524600000003,86.4345602
Nimkana,NIN,,,,20.295401,86.376438
Naikot,NIT,,,,27.361006,83.396612
Kamta Halt,KAMA,,,,25.336743948,85.27791552000001
Nandakumar P.H.,NDKR,West Bengal,?,"Haldia Mechada via Tamluk, West Bengal",22.1909239649,87.927872196
Ratnapur,RNU,,,,21.474117,76.651361
Bamour Gaon,BMZ,Madhya Pradesh,NCR,"National Highway 3, Madhya Pradesh",26.3484669242,78.0778607251
Bhanga,BXG,Assam,NFR,"National Highway 44, Assam",24.857347,92.457351
Bagdogra,BORA,,,,26.697770440000003,88.32445458000001
Pattabiram Military,PTMS,,,,13.136714000000001,80.05975199999999
Lakshmanpur Halt,LHNR,,,,27.5318304825,82.3397643762
Lohanda,LHNA,,,,25.3541150645,85.27902379519999
Kullanchavadi,KLNC,,,,11.628136,79.667563
Pagidirai Halt,PGDI,,,,15.283,77.60155400000001
Jalalpur Dhai,JPD,Uttar Pradesh,?,"State Highway 38, Uttar Pradesh",26.021201,81.13597700000001
Balegundi,BGV,,,,14.150947457100001,75.11856523189999
Bangriposi,BGY,,,,22.130678,86.501362
Kumar Maranga,KMEZ,,,,19.038845,81.94987
Belasar,BLSR,,,,27.995122,73.653205
Sakarayapatna,SHYP,,,,13.430423881200001,75.92847693120001
Jawaharnagar,JWNR,Tripura,NFR,"National Highway 44, Tripura",23.924910999999998,91.895623
Rajalukah,RJLK,,,,22.125193,86.64224200000001
Marwar Ranawas,MRWS,Rajasthan,NWR,"State Highway 61, Rajasthan",25.669354,73.739883
NIMACH,NMH,Madhya Pradesh,WR,"MDR 11A, Madhya Pradesh",24.459872999999998,74.853025
SURAINCHA,SUIA,Uttar Pradesh,NER,"Suraincha, Uttar Pradesh",27.33652,80.830108
SOLGAMPATTI,SGM,Tamil Nadu,SR,"Thirunedukulam To Paper Mill Rd, Tamil Nadu",10.785689,78.858717
DHANARI,DN,Uttar Pradesh,NR,"State Highway 39, Uttar Pradesh",28.3284610746,78.50959573360001
JORAWARNAGAR JN,JVN,Gujarat,WR,"Surendra Nagar, Gujarat",22.71246,71.641594
Ukilerhat Halt,UKLR,West Bengal,ER,"National Highway 117, West Bengal",21.824712,88.230351
KUTHUR,KOQ,Tamil Nadu,SR,"Nagappattinam - Trichy - Karur- Coimbatore - Mettupalayam - Ooty - Gundlupet Road(Vandikara Street), Tamil Nadu",10.755434000000001,79.718883
MARIAMMANKOVIL,MAV,Tamil Nadu,SR,"Mariammankoil Railway Station Rd, Tamil Nadu",10.773265,79.198201
Belandur Road,BLRR,Karnataka,SWR,"Bengaluru, Karnataka",12.936565,77.706939
SHRIMAD DWARAKAPURI,SRDW,Uttar Pradesh,NCR,"Shrimad Dwarakapuri, Uttar Pradesh",27.364691,79.56963800000001
SHANKARPUR BHADAURA,SKBR,Madhya Pradesh,WCR,"Madhya Pradesh, Madhya Pradesh",24.083218,81.93144699999999
SALICHAUKA ROAD,SCKR,Madhya Pradesh,WCR,"Gadarwara, Madhya Pradesh",22.833649,78.67629099999999
Goram Ghat,GGO,Rajasthan,NWR,"Pali, Rajasthan",25.635531,73.849246
PATEL NAGAR,PTNR,Delhi NCT,NR,"Najafgarh Road Industrial Area, Delhi NCT",28.660009076599998,77.15626035310001
BOGRI ROAD,BGO,West Bengal,SER,"Bridge over Krishnanagore, West Bengal",22.881747,87.325732
Bankim Nagar,BNKA,West Bengal,ER,"State Highway 11, West Bengal",23.209058770000002,88.59190873
Satish Samanta P.H.,SSPH,West Bengal,?,"Mahishadal Geonkhali Rd, West Bengal",22.194485,87.987567
RAMGANGA,RGB,Uttar Pradesh,NR,"State Highway 33, Uttar Pradesh",28.298118,79.375029
CHIKJAJUR JN,JRU,Karnataka,SWR,"Chikkajajur, Karnataka",14.126112,76.138705
PETTAIVAYATALAI,PLI,Tamil Nadu,SR,"Pettavaithalai, Tamil Nadu",10.898665999999999,78.495114
ARAVALLI,AVLI,Andhra Pradesh,SCR,"West Godavari, Andhra Pradesh",16.620491,81.599095
KASHANATTI,KHST,,,,15.4642781905,74.8295941504
HONNAVALLI ROAD,HVL,Karnataka,SWR,"National Highway 206, Karnataka",13.2744988982,76.39004938960001
SREE SARADANAGAR HALT,SSNH,Karnataka,SWR,"Tiptur, Karnataka",13.260739,76.454627
Chandsara,CXA,Uttar Pradesh,NR,"Chandsara, Uttar Pradesh",28.876213999999997,77.725745
BHATINDA B CABIN,BTIB,,,,30.150805,74.940231
Anpara,ANPR,Uttar Pradesh,ECR,"Sonebhadra, Uttar Pradesh",24.217385999999998,82.766166
Chitrawad,CTRD,Gujarat,WR,"Chitravad And Borvav Railway Station, Gujarat",21.101116,70.557048
TONDALAGOPAVARAM,TNGM,Andhra Pradesh,SCR,"Tondalagopavaram Station, Andhra Pradesh",16.86827,80.43078299999999
KHERA SANDHAN HALT,KHSN,,,,27.240587,77.72704800000001
KAPURTHALA RAIL COACH FACTORY,RCF,Punjab,NR,"kapurthala, Punjab",31.326976000000002,75.34282
UDALKACHAR,UKR,Madhya Pradesh,SECR,"National Highway 78, Madhya Pradesh",23.287243,82.291923
FATEHA HALT,FAH,,,,25.598419045,85.8714580536
BISALWAS KALAN,BIWK,Rajasthan,WR,"MDR 11A, Rajasthan",24.500035299999997,74.78308399999999
TIRUPADRIPULYUR,TDPR,Tamil Nadu,SR,"Cuddalore, Tamil Nadu",11.748883,79.753349
GUNDLA POCHAMPALLI,GOPL,Andhra Pradesh,SCR,"Telangana Region, Andhra Pradesh",17.567577,78.48785099999999
SHANKAPUR HALT,SNPH,,,,18.0661191061,78.4021040503
